id,network_id,degree,trial_maker_id,origin_id,participant_id,sung_pitch1,sung_pitch2,sung_pitch3,sung_pitch4,sung_pitch5,sung_note_durations,peter_tonalness,peter_mode,peter_estimated_key,peter_estimated_tonic,pter_tonal.clarity,pter_tonal.spike,daniel_tonalness,daniel_mode,daniel_estimated_key,m21_key,m21_mode,m21_confidence,m21_key_full
7163,17,11,imitation_chain,3078.0,476.0,55.8122937651822,60.5899986599395,55.565737029705,59.6421131826029,62.3986882358877,"0.799387755102041,0.166303854875283,0.499387755102041,0.327687074829932,0.985736961451247",0.5754879299703094,Major,G#,8,1.2898431510259432,0.2737736582758821,0.5551952250114464,major,G#,A-,major,0.40264511556334576,A- major
498,18,1,imitation_chain,18.0,31.0,54.6264426271889,56.3807290430068,63.3722418453461,62.9052881096077,61.9787941496032,"0.724716553287982,0.51063492063492,0.778253968253969,0.732131519274376,0.708571428571429",0.5843010816915283,Major,D#,3,1.1077661119610684,0.1881290994374591,0.584924552312526,major,D#,C,minor,0.5302076217103157,C minor
638,18,2,imitation_chain,401.0,43.0,55.344977493603,57.136500958994,63.1724947154871,62.9871342052566,62.3599453981883,"0.475056689342404,0.361201814058957,0.685328798185941,0.581451247165533,0.96185941043084",0.5681792640738225,Minor,G,7,1.1038799721149728,0.1836414336261874,0.5361257734547554,minor,g,C,minor,0.482513033576718,C minor
837,18,3,imitation_chain,470.0,57.0,45.3960922234525,50.7694439426462,54.7793577025204,53.9592250470809,50.9750375067737,"0.413764172335601,0.3240589569161,0.614013605442177,0.397074829931973,0.819455782312925",0.5054330747207431,Major,D#,3,1.1781598944393885,0.2474187663696887,0.525136568016462,major,D#,B,major,0.32414275699029715,B major
1061,18,4,imitation_chain,567.0,68.0,45.4177392592305,48.655618984342,53.8146094416541,53.6045111412735,50.854258327981,"0.457755102040816,0.518480725623583,0.821020408163265,0.313786848072562,0.957981859410431",0.6492900068084974,Minor,F#,6,1.123877908966067,0.2367904118760399,0.6454322743867579,minor,f#,B,major,0.5950811066467215,B major
1758,18,5,imitation_chain,675.0,106.0,45.2988323738355,48.1948935926607,53.9939354989405,52.3423635847238,50.6278880488763,"0.631111111111111,0.44891156462585,0.71734693877551,0.393990929705215,0.877596371882087",0.4930231286355677,Minor,D#,3,1.036893080273514,0.2248721594770269,0.5362514775595185,minor,d#,A,minor,0.3457448018007373,A minor
2619,18,6,imitation_chain,1022.0,152.0,57.8362994383561,62.8509670725598,66.5654385994938,62.5686554268812,57.8211137468662,"0.957619047619048,0.501451247165533,0.87140589569161,0.535510204081633,1.11126984126984",0.7600093502606576,Minor,G,7,1.113261057878328,0.2368666508786729,0.7861862662759229,minor,g,E-,major,0.7748637128930929,E- major
2754,18,7,imitation_chain,1377.0,179.0,56.7483575457239,62.0064431490175,66.2630126362407,62.5843294701345,58.6014467425366,"0.649002267573696,0.408934240362812,0.83702947845805,0.432380952380952,1.8262358276644",0.6745011691452155,Minor,F#,6,1.049159131451518,0.1657990424083412,0.6925099141019134,minor,f#,D,major,0.5423166817760023,D major
3807,18,8,imitation_chain,1425.0,258.0,41.9448686602145,48.5517832707941,53.3228913097991,48.6807319903505,46.605721425685,"0.582743764172336,0.322562358276644,0.601746031746032,0.334126984126984,1.34721088435374",0.5340569459323202,Major,F#,6,1.018320201753411,0.1894001133396293,0.4725961122967495,major,F#,F#,major,0.5809540959506698,F# major
3944,18,9,imitation_chain,1810.0,266.0,52.6569970749165,59.5251933116473,65.000174223291,60.911375322924,57.840146459523,"0.716031746031746,0.327437641723356,0.58281179138322,0.316530612244898,1.68761904761905",0.7416659998052583,Major,F,5,1.0811605015145742,0.1916183043117068,0.7431295637777958,major,F,B-,minor,0.810014725451749,B- minor
4418,18,10,imitation_chain,1859.0,303.0,52.1175475821241,60.292598518434,64.0188105275917,58.7189549529536,57.8394442133979,"0.762380952380952,0.292607709750567,0.685963718820862,0.533378684807256,1.10596371882086",0.5381100854542415,Major,E,4,1.0081390168682385,0.2576417231245949,0.5395066566307314,major,E,A,minor,0.4926872333045326,A minor
4457,18,11,imitation_chain,2025.0,305.0,52.0304215946715,59.1404146892046,64.15456385583,58.7265603607807,57.8480125228998,"0.765714285714286,0.616054421768708,0.813582766439909,0.673083900226757,0.891950113378684",0.6265441350274167,Major,E,4,1.1330913070837396,0.2724719465054017,0.629305398488036,major,E,E,major,0.5132394641696946,E major
929,19,1,imitation_chain,19.0,61.0,65.6384826536986,64.2868757820037,63.0208515761177,62.6905889598735,64.4992907800559,"0.864875283446712,0.809002267573696,0.732312925170068,1.03210884353741,0.548208616780045",0.4903526226435118,Minor,D#,3,1.1066516868269538,0.1863716398357155,0.4899029809561304,minor,d#,B,major,0.5727911067846008,B major
1308,19,2,imitation_chain,609.0,78.0,66.7072565418946,63.802950652101,63.2137490511605,62.5018794072994,63.240804074387,"0.825079365079365,0.554625850340136,0.616666666666666,0.535668934240363,0.443718820861678",0.7050168423455925,Major,D#,3,1.345213373920877,0.242748808503229,0.704830772999571,major,D#,C,minor,0.37954709932422453,C minor
1965,19,3,imitation_chain,801.0,117.0,67.3718211953624,65.0491841507084,62.9924432826795,61.8741102286105,63.1713846431286,"0.663650793650794,0.686734693877551,0.882358276643991,0.83609977324263,0.686349206349206",0.7335131360545144,Major,D#,3,1.407372035607539,0.2530069539950891,0.7333834485022973,major,D#,C,minor,0.708902596915861,C minor
2523,19,4,imitation_chain,1113.0,145.0,54.6189080536202,52.4942438837144,50.3154931624321,49.2131351953389,50.3517846246722,"0.729342403628118,0.647596371882086,0.58891156462585,0.542154195011337,0.784829931972789",0.705117711141794,Major,D,2,1.0778553842933245,0.2032837292268282,0.7022160557599486,major,D,C,major,0.4802227712824568,C major
3616,19,5,imitation_chain,1309.0,244.0,65.3153998585402,63.585360323275,61.1400165902794,60.1118139499817,62.987049956666,"0.662698412698413,0.627641723356009,0.661700680272109,0.66124716553288,0.858798185941044",0.5247316585601157,Major,C#,1,1.3028119338773947,0.1789305185695788,0.5155864506950654,major,C#,B-,minor,0.54060036249286,B- minor
3981,19,6,imitation_chain,1752.0,266.0,65.0642989031641,63.0703457611072,60.5601393102549,59.5634418180856,62.501386704251,"0.612721088435374,0.577437641723356,0.557936507936508,0.534829931972788,0.950861678004535",0.5083646325781976,Major,C#,1,1.1047331204208972,0.1543127410209427,0.5009439774243761,major,C#,B-,minor,0.6650218015548037,B- minor
4467,19,7,imitation_chain,1882.0,307.0,53.1369147086192,49.7685008144146,47.2294912971725,44.9475035382075,49.1787809769093,"0.463219954648526,0.530589569160998,0.540725623582766,0.435759637188208,0.599138321995465",0.3429252125208373,Minor,B,11,1.2009445587471943,0.1526964844241742,0.3097677867720663,minor,b,A,major,0.46114038157253534,A major
4648,19,8,imitation_chain,2049.0,319.0,64.4970000160213,61.2266798545252,59.4531440559131,56.7098513193841,59.3289125008657,"0.513356009070295,0.674693877551021,0.637777777777778,0.707301587301587,0.777414965986395",0.6990997077259156,Major,E,4,1.015780069327146,0.183092319766217,0.7146208415890875,major,E,A,major,0.7604240515049806,A major
4824,19,9,imitation_chain,2143.0,333.0,52.6184608279233,48.8267985275897,47.2625321266368,43.8307219531663,47.1941021472292,"0.751587301587302,0.657913832199546,0.770725623582766,0.675306122448979,0.815918367346939",0.5737046603270819,Major,B,11,1.1511097899986575,0.2754937242217525,0.5519120408137925,major,B,E,major,0.4860101548879952,E major
6002,19,10,imitation_chain,2212.0,402.0,63.8719176832071,61.0474165103438,58.9954642127348,54.0225079790211,59.1524829207917,"0.720884353741497,0.696984126984127,0.696326530612245,0.763832199546486,0.984761904761905",0.7712011982779006,Major,B,11,1.131375673631241,0.1998854625619258,0.7635302777065165,major,B,B,minor,0.7597736860793293,B minor
6259,19,11,imitation_chain,2713.0,427.0,59.7036764649317,64.1991246301072,60.9838433316037,54.5087178972362,59.3069650965423,"0.708095238095238,0.605351473922902,0.807369614512472,0.683378684807256,0.834444444444444",0.3715742050428133,Minor,C#,1,1.3419958364070776,0.1577674627626423,0.3905797345069009,minor,c#,C,major,0.4761713780458851,C major
381,20,1,imitation_chain,20.0,27.0,62.6301797237369,56.1633901892466,66.7579535741671,60.6486276203639,56.4930904940219,"0.339637188208617,0.360657596371882,0.651541950113379,0.327687074829932,0.48750566893424",0.6751151108544813,Major,G#,8,1.1672141380551426,0.2106460210771397,0.6311362837692348,major,G#,C#,major,0.5635863476206477,C# major
