id,network_id,degree,trial_maker_id,origin_id,participant_id,sung_pitch1,sung_pitch2,sung_pitch3,sung_pitch4,sung_pitch5,sung_note_durations,peter_tonalness,peter_mode,peter_estimated_key,peter_estimated_tonic,pter_tonal.clarity,pter_tonal.spike,daniel_tonalness,daniel_mode,daniel_estimated_key
1311,148,3,imitation_chain,665,78,61.3922841470456,54.8486564728306,66.2235729156812,58.907205899899,56.1069244952318,"0.880634920634921,0.521315192743764,0.854013605442177,0.534263038548753,0.3718820861678",0.6851632808007271,Major,C#,1,1.0035110349736331,0.16522943709149623,0.7233774888863161,major,F#
1888,148,4,imitation_chain,803,114,49.6920996143887,45.6067143825371,55.0529037880179,46.2356253476553,49.504962144126,"0.588253968253968,0.262925170068027,0.763945578231292,0.240045351473923,0.41015873015873",0.7100309844296971,Minor,G,7,1.1093144746118098,0.18710409864252392,0.7218078849524091,minor,g
1994,148,5,imitation_chain,1070,117,61.4270576183541,57.4873298803963,65.9294530130037,56.6393340071928,61.730879789246,"0.750453514739229,0.349954648526077,0.720929705215419,0.430634920634921,0.905079365079365",0.8233068984862428,Minor,F#,6,1.2418122992284242,0.2279146095311756,0.8252386194991289,minor,f#
2557,148,6,imitation_chain,1133,144,62.0245590690253,56.7991294968768,65.9469205774423,57.467650765163,61.904737879907,"0.812108843537415,0.350113378684807,0.73936507936508,0.315759637188209,0.973809523809524",0.8406627336867685,Major,D,2,1.5290348871716202,0.2547601915211746,0.8299705904052069,major,D
3243,148,7,imitation_chain,1327,218,61.4073433109917,55.3752154303363,65.0911276341496,60.1344413349622,61.4397892646902,"0.651111111111111,0.280181405895692,0.663537414965986,0.188979591836734,0.904965986394558",0.6917608380238223,Major,C#,1,1.3908874345384248,0.24876225966394758,0.692919590509361,major,C#
5040,148,8,imitation_chain,1602,345,61.3526132200911,55.97410601436,65.3684322195599,61.1510048071237,61.2083983395526,"0.791360544217687,0.372222222222222,0.825170068027211,0.396689342403628,1.01990929705215",0.7973419032802922,Major,C#,1,1.456712578550596,0.25101845613201695,0.7903486514872973,major,C#
5260,148,9,imitation_chain,2299,362,61.2133288072703,56.0728238051395,65.2163452844914,60.8722359703015,60.9092217391913,"0.615804988662131,0.407120181405896,0.60562358276644,0.385396825396825,0.604308390022676",0.7973419032802922,Major,C#,1,1.456712578550596,0.25101845613201695,0.7903486514872973,major,C#
5448,148,10,imitation_chain,2404,369,60.2828676297231,56.2245963930992,65.0202459808451,60.224003306168,60.6512944079617,"0.811836734693878,0.372448979591837,0.779160997732427,0.477210884353741,0.730816326530612",0.7485269547053323,Minor,F,5,1.3920563456123578,0.20647623201342333,0.7555722661811088,minor,f
5834,148,11,imitation_chain,2503,383,60.8153586972509,55.4829191969822,64.7821236285988,60.8757002394554,60.8077998972181,"0.697074829931973,0.418367346938775,0.743854875283447,0.442925170068027,0.945941043083901",0.7105553743951466,Major,C#,1,1.4252061661979711,0.254500160594585,0.7120599166338062,major,C#
1193,149,1,imitation_chain,149,80,48.6270086232826,50.0874883166144,43.4360127864241,55.2027940161601,51.206226206873,"0.76047619047619,0.704603174603174,0.245419501133787,0.413741496598639,0.773265306122449",0.46659730786327325,Minor,G,7,1.146291069506936,0.22326461148259225,0.44056787661888014,minor,g
1322,149,2,imitation_chain,737,81,51.6315988301687,51.9210897523718,44.3684472489807,56.1037489948982,50.7827193737247,"0.606689342403628,0.543537414965987,0.192834467120182,0.268163265306122,0.756780045351475",0.6792446056734635,Minor,G#,8,1.2550684523287954,0.1968469068108716,0.6558023739792643,minor,g#
1886,149,3,imitation_chain,810,114,49.4523734259597,49.1355126403405,41.351931940179,54.219079997891,49.2716066904577,"0.514784580498866,0.461383219954649,0.174331065759637,0.309478458049887,0.611292517006803",0.7582291217605521,Major,C#,1,1.400130157723029,0.24516229549032417,0.7620957957688089,major,C#
2609,149,4,imitation_chain,1068,153,49.6109882750958,49.0840257295567,42.7337091868832,55.2969307308414,49.5207141848084,"0.519637188208617,0.496371882086168,0.227324263038549,0.361904761904761,0.542675736961451",0.7307536840819989,Major,G,7,1.106182372660933,0.20603005693982085,0.7125963408474949,major,G
4234,149,5,imitation_chain,1370,290,49.6813725635722,42.7936958440081,46.5482953417329,52.5169356339411,49.8274829380469,"0.646507936507936,0.458231292517007,0.275873015873016,0.290770975056689,0.715419501133787",0.7285898826747382,Minor,B,11,1.1311082626285398,0.24658796610881994,0.7123792807326962,minor,b
4623,149,6,imitation_chain,1952,320,49.5659090741044,43.156289691997,47.250368398372,52.4943046344014,49.3916475285696,"0.59922902494331,0.60843537414966,0.172290249433107,0.301337868480726,0.830362811791384",0.7103249717089357,Minor,B,11,1.8534617801765279,0.23466654273048493,0.7010203915765187,minor,b
4657,149,7,imitation_chain,2129,318,61.7485719897458,56.6734775875326,59.7832715188469,64.2262092362433,61.2622831019386,"0.650770975056689,0.718185941043084,0.339002267573696,0.340340136054422,0.650476190476191",0.3226565235081387,Major,C,0,1.0762267167124169,0.13864398626842725,0.31675614362041793,major,C
4941,149,8,imitation_chain,2151,341,62.0566966137948,56.8503197185114,59.7117728737529,64.2854217617728,62.0375926195544,"0.708888888888889,0.799002267573696,0.396961451247165,0.46312925170068,0.754943310657597",0.6201781702439044,Minor,D,2,1.1265315816142607,0.17328747591882115,0.6224138993967169,minor,d
5506,149,9,imitation_chain,2255,370,62.2158228097512,56.51709079108,62.5625673421508,65.9032318664723,63.6303272862164,"0.685532879818594,0.533922902494331,0.385963718820862,0.37498866213152,0.858684807256236",0.35179180943997135,Major,A,9,1.1244916320465166,0.17118554935311822,0.3410379192099727,major,A
6013,149,10,imitation_chain,2546,400,61.8277880097276,56.385030651586,62.186093904615,66.1117203411829,63.9672740447822,"0.753854875283447,1.15501133786848,0.385510204081633,0.421133786848072,0.973809523809524",0.632194179180484,Major,D,2,1.1845678133279853,0.22958813396140781,0.6333981487963416,major,D
6040,149,11,imitation_chain,2720,409,64.0567448597907,57.5109098263103,62.2829910413833,66.2826324716728,64.2255491807071,"0.90530612244898,0.73092970521542,0.466439909297052,0.352448979591837,0.836190476190476",0.5322207895029311,Minor,E,4,1.1739580460189605,0.18223896787644953,0.5414595130686157,minor,e
